date,temperature,humidity,visibility,wind_speed,condition
2010-12-28,3,93,4,8,1
2010-12-29,6,97,1,0,0.2
2010-12-30,4,97,0,2,1
2010-12-31,4,96,4,0,1
2011-5-1,13,64,,21,1
2011-5-2,10,60,10,24,1
2011-5-3,8,57,10,19,1
2011-5-4,7,65,10,8,1
2011-5-5,12,62,8,6,1
2011-5-6,14,54,,6,1
2011-5-7,17,71,10,6,0.6
2011-5-8,17,65,10,11,0.6
2011-5-9,16,59,10,11,1
2011-5-10,13,57,10,10,1
2011-5-11,12,68,10,6,1
2011-5-12,13,57,10,14,1
2011-5-13,13,58,10,11,1
2011-5-14,11,57,10,19,0.6
2011-5-15,10,61,10,16,1
2011-5-16,16,62,10,18,0.6
2011-5-17,14,66,10,16,1
2011-5-18,16,76,10,16,1
2011-5-19,12,64,10,6,1
2011-5-20,14,56,10,10,1
2011-5-21,15,58,10,13,1
2011-5-22,14,55,10,24,0.6
2011-5-23,15,61,10,23,0.6
2011-5-24,13,48,10,19,1
2011-5-25,12,49,,8,1
2011-5-26,13,69,10,21,1
2011-5-27,12,67,10,18,1
2011-5-28,12,69,10,19,1
2011-5-29,17,69,10,23,1
2011-5-30,17,76,9,13,0.6
2011-5-31,12,64,10,13,0.6
2011-2-1,3,89,8,11,0.6
2011-2-2,6,86,8,14,0.2
2011-2-3,8,70,10,19,1
2011-2-4,11,69,10,39,1
2011-2-5,12,71,10,39,1
2011-2-6,10,71,10,34,1
2011-2-7,9,69,10,27,1
2011-2-8,4,74,9,5,0.2
2011-2-9,4,80,8,6,1
2011-2-10,9,84,6,11,0.6
2011-2-11,10,83,9,11,0.6
2011-2-12,8,74,8,11,0.6
2011-2-13,7,67,10,18,0.6
2011-2-14,8,60,10,14,0.6
2011-2-15,6,85,10,18,0.6
2011-2-16,7,87,10,10,1
2011-2-17,7,86,2,10,0.2
2011-2-18,4,87,4,10,1
2011-2-19,,,2,11,0.6
2011-2-20,,,3,10,1
2011-2-21,6,84,5,10,1
2011-2-22,4,83,5,3,1
2011-2-23,8,95,5,13,0.6
2011-2-24,11,77,9,10,1
2011-2-25,11,82,9,13,1
2011-2-26,9,84,10,21,0.6
2011-2-27,7,78,10,18,0.6
2011-2-28,3,89,5,13,0.6
2011-7-1,,,10,8,1
2011-7-2,,,10,6,1
2011-7-3,19,57,10,6,1
2011-7-4,14,62,10,6,1
2011-7-5,17,66,9,6,0.6
2011-7-6,17,67,10,21,0.6
2011-7-7,17,67,10,21,0.6
2011-7-8,17,72,10,19,0.6
2011-7-9,17,69,10,18,0.6
2011-7-10,17,68,10,10,1
2011-7-11,17,71,10,6,1
2011-7-12,17,75,9,14,0.6
2011-7-13,14,64,10,14,0.6
2011-7-14,16,64,10,14,1
2011-7-15,16,54,10,8,1
2011-7-16,17,81,9,21,0.6
2011-7-17,16,77,10,19,0.6
2011-7-18,17,76,10,26,0.6
2011-7-19,16,70,10,11,0.6
2011-7-20,16,73,9,6,0.6
2011-7-21,16,83,9,5,0.6
2011-7-22,16,67,10,10,0.6
2011-7-23,13,65,10,10,0.6
2011-7-24,16,59,10,14,1
2011-7-25,16,67,10,6,1
2011-7-26,16,74,10,6,0.6
2011-7-27,17,74,10,11,1
2011-7-28,19,73,9,6,1
2011-7-29,14,79,8,5,0.2
2011-7-30,14,65,10,6,1
2011-7-31,17,60,10,10,1
2011-10-1,18,65,5,2,0.2
2011-10-2,19,51,10,6,0.2
2011-10-3,21,51,8,16,1
2011-10-4,17,69,10,18,1
2011-10-5,19,68,10,27,1
2011-10-6,13,53,10,27,1
2011-10-7,12,70,10,19,0.6
2011-10-8,11,77,10,18,0.6
2011-10-9,18,78,10,21,0.6
2011-10-10,18,66,10,34,1
2011-10-11,18,71,10,32,1
2011-10-12,17,70,10,16,1
2011-10-13,14,78,9,11,1
2011-10-14,11,59,10,10,1
2011-10-15,8,68,10,8,0.2
2011-10-16,9,74,9,3,0.2
2011-10-17,12,68,10,18,1
2011-10-18,10,56,10,21,1
2011-10-19,9,62,10,16,0.6
2011-10-20,7,65,10,8,1
2011-10-21,10,67,10,10,1
2011-10-22,10,66,10,14,1
2011-10-23,14,69,10,18,1
2011-10-24,12,74,10,16,1
2011-10-25,13,73,10,8,0.6
2011-10-26,11,79,10,11,0.6
2011-10-27,12,80,10,8,0.6
2011-10-28,12,83,8,5,1
2011-10-29,14,75,9,14,1
2011-10-30,16,82,10,18,1
2011-10-31,13,80,10,13,1
2011-1-1,4,91,7,6,0.6
2011-1-2,1,89,10,8,1
2011-1-3,2,78,10,3,1
2011-1-4,3,87,9,6,0.6
