2011-01-11 11:20:00,Mostly Cloudy
2011-01-11 11:50:00,Mostly Cloudy
2011-01-11 12:20:00,Mostly Cloudy
2011-01-11 12:50:00,Mostly Cloudy
2011-01-11 13:20:00,Mostly Cloudy
2011-01-11 13:50:00,Mostly Cloudy
2011-01-11 14:20:00,Mostly Cloudy
2011-01-11 14:50:00,Mostly Cloudy
2011-01-11 14:50:00,Mostly Cloudy
2011-01-11 15:20:00,Mostly Cloudy
2011-01-11 15:50:00,Mostly Cloudy
2011-01-11 16:20:00,Mostly Cloudy
2011-01-11 16:50:00,Mostly Cloudy
2011-01-11 17:20:00,Mostly Cloudy
2011-01-11 17:50:00,Overcast
2011-01-11 17:50:00,Mostly Cloudy
2011-01-11 18:20:00,Mostly Cloudy
2011-01-11 18:50:00,Scattered Clouds
2011-01-11 19:20:00,Scattered Clouds
2011-01-11 19:50:00,Scattered Clouds
2011-01-11 20:20:00,Clear
2011-01-11 20:50:00,Partly Cloudy
2011-01-11 20:50:00,Clear
2011-01-11 21:20:00,Clear
2011-01-11 21:50:00,Clear
2011-01-11 22:20:00,Clear
2011-01-11 22:50:00,Clear
2011-01-11 23:20:00,Clear
2011-01-11 23:50:00,Clear
2011-01-12 00:20:00,Clear
2011-01-12 00:50:00,Clear
2011-01-12 01:20:00,Clear
2011-01-12 01:50:00,Light Rain
2011-01-12 02:20:00,Light Rain
2011-01-12 02:50:00,Rain
2011-01-12 02:50:00,Light Rain
2011-01-12 03:20:00,Light Rain
2011-01-12 03:50:00,Rain
2011-01-12 04:20:00,Rain
2011-01-12 04:50:00,Light Rain
2011-01-12 05:20:00,Light Rain
2011-01-12 05:50:00,Rain
2011-01-12 05:50:00,Rain
2011-01-12 06:20:00,Rain
2011-01-12 06:50:00,Rain
2011-01-12 07:20:00,Light Rain
2011-01-12 07:50:00,Mostly Cloudy
2011-01-12 08:20:00,Mostly Cloudy
2011-01-12 08:50:00,Mostly Cloudy
2011-01-12 08:50:00,Mostly Cloudy
2011-01-12 09:20:00,Mostly Cloudy
2011-01-12 09:50:00,Mostly Cloudy
2011-01-12 10:20:00,Mostly Cloudy
2011-01-12 10:50:00,Overcast
2011-01-12 11:20:00,Mostly Cloudy
2011-01-12 11:50:00,Mostly Cloudy
2011-01-12 11:50:00,Mostly Cloudy
2011-01-12 12:20:00,Mostly Cloudy
2011-01-12 12:50:00,Mostly Cloudy
2011-01-12 13:20:00,Mostly Cloudy
2011-01-12 13:50:00,Light Rain
2011-01-12 14:20:00,Light Rain
2011-01-12 14:50:00,Light Rain
2011-01-12 14:50:00,Light Rain
2011-01-12 15:20:00,Light Rain
2011-01-12 15:50:00,Mostly Cloudy
2011-01-12 16:20:00,Mostly Cloudy
2011-01-12 16:50:00,Light Rain
2011-01-12 17:20:00,Mostly Cloudy
2011-01-12 17:50:00,Rain
2011-01-12 17:50:00,Mostly Cloudy
2011-01-12 18:20:00,Mostly Cloudy
2011-01-12 18:50:00,Mostly Cloudy
2011-01-12 19:20:00,Mostly Cloudy
2011-01-12 19:50:00,Mostly Cloudy
2011-01-12 20:20:00,Scattered Clouds
2011-01-12 20:50:00,Overcast
2011-01-12 20:50:00,Mostly Cloudy
2011-01-12 21:20:00,Mostly Cloudy
2011-01-12 21:50:00,Mostly Cloudy
2011-01-12 22:20:00,Mostly Cloudy
2011-01-12 22:50:00,Mostly Cloudy
2011-01-12 23:20:00,Mostly Cloudy
2011-01-12 23:50:00,Rain
2011-01-12 23:50:00,Mostly Cloudy
