2010-12-10,00:20:00,-9999.0
2010-12-10,00:50:00,-9999.0
2010-12-10,01:20:00,10.0
2010-12-10,01:50:00,10.0
2010-12-10,02:20:00,8.0
2010-12-10,02:50:00,8
2010-12-10,02:50:00,10.0
2010-12-10,03:20:00,10.0
2010-12-10,03:50:00,10.0
2010-12-10,04:20:00,10.0
2010-12-10,04:50:00,10.0
2010-12-10,05:20:00,10.0
2010-12-10,05:50:00,10.0
2010-12-10,06:20:00,10.0
2010-12-10,06:50:00,10.0
2010-12-10,07:20:00,10.0
2010-12-10,07:50:00,10.0
2010-12-10,08:20:00,10.0
2010-12-10,08:50:00,14
2010-12-10,08:50:00,10.0
2010-12-10,09:20:00,10.0
2010-12-10,09:50:00,10.0
2010-12-10,10:20:00,10.0
2010-12-10,10:50:00,10.0
2010-12-10,11:20:00,10.0
2010-12-10,11:50:00,22
2010-12-10,11:50:00,10.0
2010-12-10,12:20:00,10.0
2010-12-10,12:50:00,10.0
2010-12-10,13:20:00,10.0
2010-12-10,13:50:00,10.0
2010-12-10,14:20:00,10.0
2010-12-10,14:50:00,29
2010-12-10,14:50:00,10.0
2010-12-10,15:20:00,10.0
2010-12-10,15:50:00,10.0
2010-12-10,16:20:00,10.0
2010-12-10,16:50:00,10.0
2010-12-10,17:20:00,10.0
2010-12-10,17:50:00,19
2010-12-10,17:50:00,10.0
2010-12-10,18:20:00,10.0
2010-12-10,18:50:00,10.0
2010-12-10,19:20:00,10.0
2010-12-10,19:50:00,10.0
2010-12-10,20:20:00,10.0
2010-12-10,20:50:00,10.0
2010-12-10,21:20:00,10.0
2010-12-10,21:50:00,10.0
2010-12-10,22:20:00,10.0
2010-12-10,22:50:00,10.0
2010-12-10,23:20:00,10.0
2010-12-10,23:50:00,16
2010-12-10,23:50:00,10.0
2010-12-11,00:20:00,10.0
2010-12-11,00:50:00,10.0
2010-12-11,01:20:00,10.0
2010-12-11,01:50:00,10.0
2010-12-11,02:20:00,10.0
2010-12-11,02:50:00,29
2010-12-11,02:50:00,10.0
2010-12-11,03:20:00,10.0
2010-12-11,03:50:00,10.0
2010-12-11,04:20:00,10.0
2010-12-11,04:50:00,10.0
2010-12-11,05:20:00,10.0
2010-12-11,05:50:00,28
2010-12-11,05:50:00,10.0
2010-12-11,06:20:00,10.0
2010-12-11,06:50:00,10.0
2010-12-11,07:20:00,10.0
2010-12-11,07:50:00,10.0
2010-12-11,08:20:00,10.0
2010-12-11,08:50:00,26
2010-12-11,08:50:00,10.0
2010-12-11,09:20:00,10.0
2010-12-11,09:50:00,10.0
2010-12-11,10:20:00,10.0
2010-12-11,10:50:00,10.0
2010-12-11,11:20:00,10.0
2010-12-11,11:50:00,10.0
2010-12-11,12:20:00,10.0
2010-12-11,12:50:00,10.0
2010-12-11,13:20:00,10.0
2010-12-11,13:50:00,10.0
2010-12-11,14:20:00,10.0
2010-12-11,14:50:00,26
2010-12-11,14:50:00,10.0
2010-12-11,15:20:00,10.0
2010-12-11,15:50:00,10.0
2010-12-11,16:20:00,10.0
2010-12-11,16:50:00,10.0
2010-12-11,17:20:00,10.0
2010-12-11,17:50:00,20
2010-12-11,17:50:00,10.0
2010-12-11,18:20:00,10.0
2010-12-11,18:50:00,10.0
